title,price,clean_type,container_volume,power,brand,rating
Пылесос TEFAL TW 7256EA,114990,сухая уборка,"2,5",550,TEFAL,0
Пылесос TEFAL TW 7272EA,121990,сухая уборка,"2,5",550,TEFAL,4.25
Пылесос LG VC 83209UHA,81990,сухая уборка,"1,2",420,LG,4.703703703703703
Пылесос TEFAL TW 4855 EA,79990,сухая уборка,"2,5",550,TEFAL,4.5
Пылесос TEFAL TW 4886 EA,84990,сухая уборка,"2,5",550,TEFAL,5
Пылесос SAMSUNG VCC 4520 S3R,33990,сухая уборка,"1,3",350,SAMSUNG,3.75
Пылесос SAMSUNG VC 18M21 COVR,49990,сухая уборка,"1,5",380,SAMSUNG,5
Пылесос BOSCH BGS05A220,54990,сухая уборка,"1,5",700,BOSCH,5
Пылесос SAMSUNG VC 18M31 AOHU,54990,сухая уборка,2,380,SAMSUNG,5
Пылесос VITEK VT 8137,25990,сухая уборка,"2,5",350,VITEK,5
Пылесос PHILIPS FC 9728/01,119990,сухая уборка,2,400,PHILIPS,5
Пылесос SAMSUNG VC 18M21 AOSB,46990,сухая уборка,"1,5",380,SAMSUNG,5
Пылесос BOSCH BGS05A222,59990,сухая уборка,"1,5",700,BOSCH,1
Пылесос SAMSUNG VC 20M253 AWR,39990,сухая уборка,"2,5",450,SAMSUNG,5
Пылесос KARCHER VC 3 1.198-131.0,54990,сухая уборка,"0,9",700,KARCHER,4.5
Пылесос BOSCH BGS 2UPWER3,92990,сухая уборка,"1,4",2500,BOSCH,0
Пылесос SAMSUNG VCC 4520 S36,33990,сухая уборка,"1,3",350,SAMSUNG,5
Пылесос HYUNDAI H-VCC50 RED,30990,сухая уборка,"2,5",400,HYUNDAI,5
Пылесос MIDEA MKZ (MVCKZ) 12K,18900,сухая уборка,"1,5",1200,MIDEA,0
Пылесос SAMSUNG VC 21K5177 HB,104990,сухая уборка,2,440,SAMSUNG,0
Пылесос HYUNDAI H-VCC08,24990,сухая уборка,2,1800,HYUNDAI,1
Пылесос LG VK 89309H,64990,сухая уборка,420,2000,LG,0
Пылесос MIDEA MKZ (MVCKZ) 15K,24900,сухая уборка,1.5,1400,MIDEA,3
Пылесос LG V K69662N,32990,сухая уборка,1.2,350,LG,5
Пылесос LG VC 5420 NHTW,48990,сухая уборка,"1,3",380,LG,0
Пылесос BOSCH BGS 412234A,84990,сухая уборка,"2,4",2200,BOSCH,0
Пылесос MIELE SBAD3 Classic C1 белый лотос,82890,сухая уборка,4.5,1300,MIELE,0
Пылесос SAMSUNG SC 15K4136 HB,74990,сухая уборка,"1,3",390,SAMSUNG,5
Пылесос SAMSUNG SC 20M2540 JN,49990,сухая уборка,"2,5",450,SAMSUNG,5
Пылесос LG VC 5420 NNTS,44990,сухая уборка,"1,3",380,LG,0
Пылесос SAMSUNG VCC 8874 H35,89990,сухая уборка,2,430,SAMSUNG,4
Пылесос PHILIPS XB 2042/01,64990,сухая уборка,"1,3",360,PHILIPS,4
Пылесос PHILIPS XB 2022/01,60990,сухая уборка,"1,3",360,PHILIPS,0
Пылесос PHILIPS FC 8924/01,169990,сухая уборка,4,500,PHILIPS,0
Пылесос PHILIPS FC 9352/01,82990,сухая уборка,"1,5",370,PHILIPS,0
Пылесос SAMSUNG VC 18M31 COHG,59990,сухая уборка,2,380,SAMSUNG,0
Пылесос LG VK 76A09 NTCB,53990,сухая уборка,"1,5",380,LG,0
Пылесос PHILIPS FC 9350/01,67990,сухая уборка,"1,5",350,PHILIPS,5
Пылесос SAMSUNG VC 15K4176 HG,79990,сухая уборка,"1,3",390,SAMSUNG,0
Пылесос SAMSUNG VC 15K4116 VR,64990,сухая уборка,"1,3",390,SAMSUNG,5
Пылесос SAMSUNG VCC 5241 S3K,30990,сухая уборка,"2,4",410,SAMSUNG,1
Пылесос BOSCH BGS 412234,99990,сухая уборка,"2,4",2200,BOSCH,0
Пылесос MIDEA MKZ (MVCKZ) 11S,16990,сухая уборка,1.5,Комбинированная,MIDEA,0
Пылесос PHILIPS FC 9570/01,93990,сухая уборка,"1,5",410,PHILIPS,0
Пылесос TEFAL TW 7681EA,147990,Безмешковый моноциклонический,"2,5",750,TEFAL,0
Пылесос VITEK VT 1891 Black,24990,сухая уборка,4.5,400,VITEK,0
Пылесос DYSON CY26 CINETIC BIG BALL ANIMAL PRO 2,259990,сухая уборка,"0,8",164,DYSON,0
Пылесос SAMSUNG VC 18M21 DOVG,54990,сухая уборка,"1,5",380,SAMSUNG,5
Пылесос LG VC 5420 NHTR,48990,сухая уборка,"1,3",380,LG,0
Пылесос BOSCH BGS 7PET,159990,сухая уборка,3,1,BOSCH,0
Пылесос LG VK 76R03HY,59990,сухая уборка,"1,5",380,LG,0
Пылесос SAMSUNG VCC 885F H3P,84990,сухая уборка,2,430,SAMSUNG,5
Пылесос LG VK 89609HQ,79990,сухая уборка,420,2000,LG,0
Пылесос BORK V710 BG,159690,сухая уборка,"3,5",440,BORK,0
Пылесос VITEK VT 1892 Red,25990,сухая уборка,4.5,450,VITEK,0
Пылесос MIELE SKCR3 Blizzard CX1 Excellence,194890,сухая уборка,2,1100,MIELE,5
Пылесос LG VC 53001 KNTC,53990,сухая уборка,"1,5",380,LG,0
Пылесос KARCHER VC 2 1.198-101.0,44990,сухая уборка,2,1100,KARCHER,5
Пылесос SAMSUNG VC 21K5150 HP,94990,сухая уборка,2,440,SAMSUNG,5
Пылесос LG VC 83209UHAV,99990,сухая уборка,1.2 X4,400,LG,0
"Набор круглых мешков BREZO WM-1131B (c круговой молнией для бережной стирки, отжима и сушки всех видов одежды и белья, 2 шт)",3990,BREZO,белый,Россия,BREZO,0
"Мешок BREZO WM-1136B (Мешок для стирки обуви раздельный, соединение по подошвам)",2990,полиэстер,BREZO,белый,BREZO,0
Пылесос WINIA WVC-410BLL,18990,сухая уборка,"2,5",325,WINIA,0
Пылесос LG VC 5420 NHTCG,49990,сухая уборка,"1,3",380,LG,0
Пылесос LG VC 83109UHAQ,89990,сухая уборка,"1,2",420,LG,0
Пылесос MIELE SGDAO/SGDA3 Complete C3 манговый красный,129890,сухая уборка,4.5,1700,MIELE,0
Пылесос POLARIS PVC 2003 RI,59990,сухая уборка,"2,5",500,POLARIS,0
Пылесос MIELE SGDA3 Complete C3 коричневый гавана,129890,сухая уборка,4.5,2000,MIELE,5
Пылесос BOSCH BGS 5ALL1,96990,сухая уборка,3,700,BOSCH,0
Пылесос MIELE SGEAO/SGEA3 Complete C3 Cat&Dog ежевичный красный,172890,сухая уборка,4.5,2000,MIELE,0
Пылесос LG VK 76A09 NTCR,53990,сухая уборка,"1,5",380,LG,0
Пылесос POLARIS PVC 1617GO,34990,сухая уборка,"1,7",320,POLARIS,0
Пылесос BORK V703,222390,сухая уборка,3,450,BORK,0
Пылесос SAMSUNG VCC 8835 V37,74990,сухая уборка,2,430,SAMSUNG,0
Пылесос TEFAL TW 7233EA,109990,сухая уборка,"2,5",550,TEFAL,0
Пылесос MIDEA MKZ 18C,39990,сухая уборка,2,400,MIDEA,0
Пылесос LG VC 83209UHAS,84990,сухая уборка,1.2 X4,400,LG,0
Пылесос LG VK 76W02 HY,59990,сухая уборка,"1,5",380,LG,0
Пылесос HITACHI CV SC22 240C BRE,118990,сухая уборка,2,400,HITACHI,0
Пылесос HITACHI CV SF20V 240C LBR,63990,сухая уборка,1.6,410,HITACHI,0
Пылесос MIELE SBAD3 Classic C1 синий,82890,сухая уборка,4.5,1400,MIELE,0
Пылесос DYSON CY28 ALLERGY,162990,сухая уборка,1.5,170,DYSON,0
Пылесос DYSON CY28 MULTIFLOOR,194990,сухая уборка,"1,8",251,DYSON,0
Пылесос BORK V710 BR,159690,сухая уборка,3.5,440,BORK,0
Пылесос BORK V710 PL,159690,сухая уборка,"3,5",440,BORK,0
Пылесос BORK V700 WT,136890,сухая уборка,3,440,BORK,0
Пылесос BORK V700 OR,136890,сухая уборка,3,440,BORK,0
Пылесос BORK V700 GR,136890,сухая уборка,3,440,BORK,0
Пылесос KAMBROOK ABV 402,76990,сухая уборка,"1,2",350,KAMBROOK,0
Пылесос TEFAL TW 6951EA,89990,сухая уборка,"2,5",750,TEFAL,0
Пылесос MIELE SKRR3 Blizzard CX1 Red,176890,сухая уборка,2,1100,MIELE,0
Пылесос VITEK VT 8114 RED,22990,сухая уборка,"2,5",350,VITEK,0
Пылесос LG VK 79000HQ,69970,сухая уборка,"0,9",200,LG,0
