title,price,capacity,programs_number,water_consumption,brand,rating
Посудомоечная машина MIDEA DWF12-5203,129990,12 комплектов,4,"12",MIDEA,0
Посудомоечная машина HANSA ZWM 656 WEH,199990,14 комплектов,6,11,HANSA,0
Посудомоечная машина BEKO DFS 05012 W,204990,10 комплектов,5,10.5,BEKO,0
Посудомоечная машина SAMSUNG DW 50R4050 FS,209990,10 комплектов,6,"9,9",SAMSUNG,0
Посудомоечная машина BOSCH SMS 43D08ME,239990,12 комплектов,4,12,BOSCH,0
Посудомоечная машина BOSCH SMS 53L02ME,272990,12 комплектов,5,12,BOSCH,5
Посудомоечная машина HANSA ZWM 456 SEH,199990,10 комплектов,6,9,HANSA,0
Посудомоечная машина BEKO DFS 05012 S,209990,10 комплектов,5,10.5,BEKO,0
Посудомоечная машина BOSCH SMS 53L08ME,285990,12 комплектов,5,12,BOSCH,5
Посудомоечная машина BOSCH SPS 2IKI02E,256990,9 комплектов,4,12,BOSCH,0
Посудомоечная машина HANSA ZWM 628 EWH,249990,14 комплектов,8,10,HANSA,0
Посудомоечная машина BEKO DFN 05310 W,219990,13 комплектов,5,"11,5",BEKO,0
Посудомоечная машина SAMSUNG DW 50R4050 FW,204990,10 комплектов,6,"9,9",SAMSUNG,0
Посудомоечная машина HANSA ZWM 636 BSH,259990,14 комплектов,6,10,HANSA,0
Посудомоечная машина BOSCH SPS 2IKW1BR,252990,9 комплектов,4,10,BOSCH,5
Посудомоечная машина BOSCH SMS 23BW00T,228990,12 комплектов,3,14,BOSCH,0
Посудомоечная машина HANSA ZWM 456 WEH,179990,10 комплектов,6,9,HANSA,1
Посудомоечная машина HANSA ZWM 628 EIH,269990,14 комплектов,8,10,HANSA,0
Посудомоечная машина HANSA DFM 636 ACBSH,309990,14 комплектов,6,10,HANSA,0
Посудомоечная машина BOSCH SMS 45DI10Q,299990,12 комплектов,5,9,BOSCH,0
Посудомоечная машина ELECTROLUX ESF 9552 LOX,349990,13 комплектов,6,9,ELECTROLUX,1
Посудомоечная машина ELECTROLUX ESF 9452 LOX,366970,9 комплектов,6,10,ELECTROLUX,0
Посудомоечная машина BEKO DFN 15210 W,123990,12 комплектов,5,12,BEKO,0
Посудомоечная машина ELECTROLUX ESF 9422 LOW,329970,9 комплектов,5,10,ELECTROLUX,0
